2024-05-16 18:23:34 root | pipeline_log.py:28 INFO     ========================================
2024-05-16 18:23:34 root | pipeline_log.py:29 INFO     New logging session started
2024-05-16 18:23:34 root | pipeline_log.py:30 INFO     ========================================
2024-05-16 18:23:34 pipeline_logger | pipeline_log.py:61 INFO     Configuration file saved to artifacts directory.
2024-05-16 18:23:35 src.acquire_data | acquire_data.py:54 INFO     Data acquired successfully from https://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/taylor/cloud.data
2024-05-16 18:23:35 src.acquire_data | acquire_data.py:21 INFO     Data written to runs/1715883814/clouds.data
2024-05-16 18:23:35 pipeline_logger | pipeline_log.py:65 INFO     Data acquisition completed successfully.
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:46 DEBUG    Creating dataset from file: runs/1715883814/clouds.data
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:47 DEBUG    Columns used: ['visible_mean', 'visible_max', 'visible_min', 'visible_mean_distribution', 'visible_contrast', 'visible_entropy', 'visible_second_angular_momentum', 'IR_mean', 'IR_max', 'IR_min']
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:70 INFO     Dataset created.
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:71 DEBUG    Dataset created. Size: (2048, 11)
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:75 DEBUG    Class 0 count: 1024
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:76 DEBUG    Class 1 count: 1024
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:91 DEBUG    Saving dataset to path: runs/1715883814/clouds.csv
2024-05-16 18:23:35 src.create_dataset | create_dataset.py:94 INFO     Dataset saved successfully.
2024-05-16 18:23:35 pipeline_logger | pipeline_log.py:73 INFO     Dataset creation completed successfully.
2024-05-16 18:23:35 src.generate_features | generate_features.py:87 DEBUG    Generating additional features from input data.
2024-05-16 18:23:35 src.generate_features | generate_features.py:98 DEBUG    Calculating range features.
2024-05-16 18:23:35 src.generate_features | generate_features.py:101 DEBUG    Calculating normalized range features.
2024-05-16 18:23:35 src.generate_features | generate_features.py:117 DEBUG    Calculating normalized range feature.
2024-05-16 18:23:35 src.generate_features | generate_features.py:104 DEBUG    Performing log transformation.
2024-05-16 18:23:35 src.generate_features | generate_features.py:107 DEBUG    Performing multiplication of features.
2024-05-16 18:23:35 src.generate_features | generate_features.py:112 INFO     Feature generation completed.
2024-05-16 18:23:35 src.generate_features | generate_features.py:136 DEBUG    Saving enriched dataset to disk.
2024-05-16 18:23:35 src.generate_features | generate_features.py:139 INFO     Dataset saved to runs/1715883814/enriched_clouds.csv
2024-05-16 18:23:35 pipeline_logger | pipeline_log.py:78 INFO     Feature generation completed successfully.
2024-05-16 18:23:35 src.analysis | analysis.py:29 DEBUG    Matplotlib defaults updated.
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_mean.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_max.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_min.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_mean_distribution.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_contrast.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_entropy.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_second_angular_momentum.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-IR_mean.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-IR_max.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-IR_min.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-class.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-IR_range.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-IR_norm_range.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-log_visible_entropy.png
2024-05-16 18:23:35 src.analysis | analysis.py:73 DEBUG    Figure saved: runs/1715883814/figures/2024-05-16-visible_contrast_x_visible_entropy.png
